epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.3626,1.56361,6.33057,1.84976,0.80423,0.80005,0.87786,0.707,1.41587,4.34419,1.75316,0.000553082,0.000553082,0.000553082
2,190.223,1.71037,3.32185,1.91205,0.80452,0.78599,0.86282,0.65054,1.56863,2.10026,1.83048,0.0010868,0.0010868,0.0010868
3,283.266,1.67698,1.96182,1.92444,0.83981,0.75763,0.88011,0.69717,1.50789,1.54342,1.81568,0.0015985,0.0015985,0.0015985
4,374.393,1.61215,1.52085,1.92287,0.81447,0.78669,0.88776,0.70244,1.45105,1.36479,1.87566,0.00156798,0.00156798,0.00156798
5,467.146,1.56947,1.33275,1.92425,0.84171,0.87403,0.93417,0.74484,1.41704,1.11051,1.83976,0.00153497,0.00153497,0.00153497
6,559.125,1.51088,1.19232,1.90781,0.89811,0.85003,0.9414,0.75746,1.3966,0.98131,1.84497,0.00150197,0.00150197,0.00150197
7,649.833,1.46035,1.09026,1.88424,0.86943,0.87093,0.94069,0.78288,1.23024,0.98517,1.75505,0.00146896,0.00146896,0.00146896
8,741.8,1.42553,1.04093,1.88371,0.84332,0.86457,0.9404,0.77864,1.23728,0.92605,1.80378,0.00143595,0.00143595,0.00143595
9,836.699,1.41674,0.99964,1.87585,0.92747,0.87309,0.96045,0.82019,1.18358,0.79471,1.76371,0.00140295,0.00140295,0.00140295
10,929.332,1.36182,0.92975,1.85731,0.87223,0.88989,0.947,0.7947,1.21745,0.83055,1.76831,0.00136994,0.00136994,0.00136994
11,1019.54,1.33742,0.92413,1.84927,0.8852,0.89505,0.95289,0.81736,1.1392,0.81025,1.76147,0.00133693,0.00133693,0.00133693
12,1111.58,1.31565,0.88656,1.84434,0.89712,0.90678,0.96065,0.82029,1.12394,0.76464,1.72921,0.00130393,0.00130393,0.00130393
13,1201.58,1.31891,0.8751,1.85544,0.92909,0.90841,0.96818,0.83101,1.15008,0.73021,1.75528,0.00127092,0.00127092,0.00127092
14,1292.53,1.29385,0.83303,1.84337,0.89982,0.89462,0.95353,0.8135,1.14816,0.76237,1.77437,0.00123791,0.00123791,0.00123791
15,1384.64,1.27447,0.83014,1.83654,0.90458,0.92995,0.97089,0.84332,1.10453,0.6848,1.76499,0.00120491,0.00120491,0.00120491
16,1473.54,1.2686,0.79697,1.82732,0.91906,0.9292,0.97375,0.84665,1.06654,0.67361,1.72081,0.0011719,0.0011719,0.0011719
17,1564.4,1.24323,0.79298,1.81888,0.93374,0.90876,0.97331,0.84534,1.07049,0.69374,1.7318,0.00113889,0.00113889,0.00113889
