epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,1655.62,1.23985,0.78112,1.81526,0.93709,0.92176,0.96884,0.83663,1.10464,0.67563,1.74215,0.00110589,0.00110589,0.00110589
19,1746.05,1.22551,0.7631,1.81841,0.93374,0.91216,0.97137,0.84315,1.08411,0.64369,1.75437,0.00107288,0.00107288,0.00107288
20,1838.26,1.20169,0.73824,1.81123,0.92526,0.92015,0.97216,0.84702,1.09024,0.64414,1.74611,0.00103987,0.00103987,0.00103987
21,1928.12,1.21537,0.75446,1.80564,0.93413,0.91847,0.97296,0.85536,1.04159,0.61804,1.72775,0.00100687,0.00100687,0.00100687
22,2018.86,1.17797,0.7196,1.80151,0.93986,0.92208,0.97166,0.84979,1.02945,0.62588,1.73188,0.000973861,0.000973861,0.000973861
23,2112.77,1.18671,0.7115,1.80212,0.9098,0.94577,0.97597,0.8507,1.06035,0.59877,1.73303,0.000940855,0.000940855,0.000940855
24,2203.74,1.18004,0.71056,1.80946,0.92679,0.92819,0.97233,0.85675,1.03913,0.61091,1.73809,0.000907848,0.000907848,0.000907848
25,2295.99,1.16331,0.6868,1.7984,0.91359,0.93614,0.9703,0.85024,1.01795,0.61732,1.72146,0.000874842,0.000874842,0.000874842
26,2387.33,1.15503,0.6848,1.79392,0.92037,0.94824,0.97414,0.855,1.03218,0.59503,1.71292,0.000841835,0.000841835,0.000841835
27,2479.17,1.14073,0.68467,1.78247,0.94079,0.95133,0.97839,0.86651,1.022,0.58952,1.70137,0.000808828,0.000808828,0.000808828
28,2569.59,1.13132,0.67172,1.77317,0.93108,0.92876,0.9719,0.86253,1.00683,0.60242,1.71268,0.000775822,0.000775822,0.000775822
29,2659.87,1.13321,0.66564,1.78093,0.94104,0.95388,0.97974,0.86452,1.00964,0.57678,1.71655,0.000742815,0.000742815,0.000742815
30,2752.64,1.11796,0.64907,1.78054,0.93873,0.9564,0.97875,0.87185,0.99339,0.56634,1.70459,0.000709809,0.000709809,0.000709809
31,2844.27,1.12047,0.64083,1.77921,0.9273,0.95729,0.97731,0.86989,1.00392,0.56684,1.71167,0.000676802,0.000676802,0.000676802
32,2934.87,1.12016,0.63976,1.78478,0.94494,0.94296,0.98064,0.87755,0.97159,0.55028,1.70734,0.000643795,0.000643795,0.000643795
33,3026.91,1.09177,0.6288,1.77321,0.95442,0.94821,0.98162,0.87243,0.98219,0.54462,1.6981,0.000610789,0.000610789,0.000610789
34,3118.91,1.0901,0.63016,1.77386,0.94708,0.94806,0.97982,0.87647,0.98085,0.55955,1.69591,0.000577782,0.000577782,0.000577782
35,3212.88,1.08487,0.60721,1.76611,0.95361,0.94055,0.97717,0.87145,0.96594,0.55394,1.69389,0.000544776,0.000544776,0.000544776
36,3305.31,1.07618,0.61026,1.77102,0.94864,0.95175,0.98173,0.87682,0.97124,0.54009,1.70429,0.000511769,0.000511769,0.000511769
37,3399.3,1.07009,0.59582,1.76238,0.96069,0.94586,0.98288,0.88104,0.94548,0.53665,1.703,0.000478762,0.000478762,0.000478762
38,3489.99,1.05202,0.5794,1.76077,0.94408,0.95057,0.98232,0.88058,0.95445,0.53047,1.69325,0.000445756,0.000445756,0.000445756
39,3580.77,1.04951,0.58078,1.75445,0.93436,0.97036,0.98162,0.88396,0.952,0.5093,1.68026,0.000412749,0.000412749,0.000412749
40,3672.33,1.03925,0.57044,1.75562,0.95611,0.96405,0.98176,0.88684,0.92589,0.50352,1.68315,0.000379743,0.000379743,0.000379743
41,3762.2,0.92788,0.50133,1.67736,0.95056,0.95864,0.98261,0.88412,0.94729,0.52306,1.68983,0.000346736,0.000346736,0.000346736
42,3848.99,0.92461,0.48167,1.67834,0.94275,0.9589,0.98219,0.8784,0.94667,0.52121,1.69902,0.000313729,0.000313729,0.000313729
43,3935.81,0.91648,0.48019,1.6649,0.94311,0.96098,0.98311,0.8854,0.92115,0.50643,1.69238,0.000280723,0.000280723,0.000280723
44,4024.3,0.91038,0.46492,1.66857,0.95224,0.94198,0.98106,0.88943,0.9239,0.5137,1.69322,0.000247716,0.000247716,0.000247716
45,4113.29,0.90077,0.46014,1.66364,0.94553,0.95537,0.98038,0.88378,0.92367,0.50807,1.68261,0.00021471,0.00021471,0.00021471
46,4201.35,0.88817,0.44387,1.65885,0.96235,0.92858,0.9808,0.88829,0.916,0.50906,1.68338,0.000181703,0.000181703,0.000181703
47,4289.74,0.87494,0.43579,1.65994,0.94623,0.96855,0.98248,0.89234,0.90004,0.49383,1.67985,0.000148696,0.000148696,0.000148696
48,4377.23,0.87216,0.43489,1.6518,0.97325,0.94821,0.98154,0.8915,0.90866,0.486,1.68611,0.00011569,0.00011569,0.00011569
49,4464.66,0.86137,0.42967,1.6553,0.95939,0.95746,0.98155,0.89149,0.90653,0.48538,1.68284,8.26832e-05,8.26832e-05,8.26832e-05
50,4552.09,0.8617,0.42744,1.65164,0.94753,0.96561,0.98316,0.89239,0.89609,0.48621,1.68047,4.96766e-05,4.96766e-05,4.96766e-05
